#SILCannonBookAbbrev, SILCannonBookNum, ClearTreeBookAbbrev, ClearTreeBookNum
GEN,1,gn,1,
EXO,2,ex,2,
LEV,3,lv,3,
NUM,4,nu,4,
DEU,5,dt,5,
JOS,6,js,6,
JDG,7,ju,7,
RUT,8,ru,8,
1SA,9,1s,9,
2SA,10,2s,10,
1KI,11,1k,11,
2KI,12,2k,12,
1CH,13,1c,13,
2CH,14,2c,14,
EZR,15,er,15,
NEH,16,ne,16,
EST,17,es,17,
JOB,18,jb,18,
PSA,19,ps,19,
PRO,20,pr,20,
ECC,21,ec,21,
SNG,22,ca,22,
ISA,23,is,23,
JER,24,je,24,
LAM,25,lm,25,
EZK,26,ek,26,
DAN,27,da,27,
HOS,28,ho,28,
JOL,29,jl,29,
AMO,30,am,30,
OBA,31,ob,31,
JON,32,jn,32,
MIC,33,mi,33,
NAM,34,na,34,
HAB,35,hb,35,
ZEP,36,zp,36,
HAG,37,hg,37,
ZEC,38,zc,38,
MAL,39,ma,39,
MAT,40,Mat,40,
MRK,41,Mrk,41,
LUK,42,Luk,42,
JHN,43,Jhn,43,
ACT,44,Act,44,
ROM,45,Rom,45,
1CO,46,1Co,46,
2CO,47,2Co,47,
GAL,48,Gal,48,
EPH,49,Eph,49,
PHP,50,Php,50,
COL,51,Col,51,
1TH,52,1Th,52,
2TH,53,2Th,53,
1TI,54,1Tm,54,
2TI,55,2Tm,55,
TIT,56,Tit,56,
PHM,57,Phm,57,
HEB,58,Heb,58,
JAS,59,Jms,59,
1PE,60,1Pe,60,
2PE,61,2Pe,61,
1JN,62,1Jn,62,
2JN,63,2Jn,63,
3JN,64,3Jn,64,
JUD,65,Jud,65,
REV,66,Rev,66,
TOB,67,,,
JDT,68,,,
ESG,69,,,
WIS,70,,,
SIR,71,,,
BAR,72,,,
LJE,73,,,
S3Y,74,,,
SUS,75,,,
BEL,76,,,
1MA,77,,,
2MA,78,,,
3MA,79,,,
4MA,80,,,
1ES,81,,,
2ES,82,,,
MAN,83,,,
PS2,84,,,
ODA,85,,,
PSS,86,,,
JSA,87,,,,
JDB,88,,,
TBS,89,,,
SST,90,,,
DNT,91,,,
BLT,92,,,
XXA,93,,,
XXB,94,,,
XXC,95,,,
XXD,96,,,
XXE,97,,,
XXF,98,,,
XXG,99,,,
FRT,100,,,
BAK,101,,,
OTH,102,,,
3ES,103,,,
EZA,104,,,
5EZ,105,,,
6EZ,106,,,
INT,107,,,
CNC,108,,,
GLO,109,,,
TDX,110,,,
NDX,111,,,
DAG,112,,,
PS3,113,,,
2BA,114,,,
LBA,115,,,
JUB,116,,,
ENO,117,,,
1MQ,118,,,
2MQ,118,,,
3MQ,120,,,
REP,121,,,
4BA,122,,,
LAO,123,,,

